year,age,deaths
1950,0,68730
1950,1,14081
1950,2,8893
1950,3,5891
1950,4,3995
1950,5,2751
1950,6,1960
1950,7,1488
1950,8,1221
1950,9,1066
1950,10,943
1950,11,875
1950,12,851
1950,13,868
1950,14,917
1950,15,989
1950,16,1076
1950,17,1165
1950,18,1251
1950,19,1330
1950,20,1396
1950,21,1437
1950,22,1438
1950,23,1408
1950,24,1362
1950,25,1311
1950,26,1261
1950,27,1216
1950,28,1177
1950,29,1143
1950,30,1114
1950,31,1087
1950,32,1072
1950,33,1073
1950,34,1080
1950,35,1087
1950,36,1097
1950,37,1104
1950,38,1096
1950,39,1077
1950,40,1062
1950,41,1047
1950,42,1031
1950,43,1026
1950,44,1028
1950,45,1027
1950,46,1028
1950,47,1035
1950,48,1041
1950,49,1048
1950,50,1060
1950,51,1072
1950,52,1083
1950,53,1096
1950,54,1109
1950,55,1123
1950,56,1138
1950,57,1165
1950,58,1207
1950,59,1262
1950,60,1323
1950,61,1390
1950,62,1447
1950,63,1477
1950,64,1486
1950,65,1492
1950,66,1497
1950,67,1502
1950,68,1519
1950,69,1547
1950,70,1570
1950,71,1579
1950,72,1592
1950,73,1621
1950,74,1655
1950,75,1680
1950,76,1706
1950,77,1713
1950,78,1677
1950,79,1599
1950,80,1512
1950,81,1423
1950,82,1309
1950,83,1168
1950,84,1010
1950,85,828
1950,86,619
1950,87,432
1950,88,318
1950,89,267
1950,90,212
1950,91,174
1950,92,149
1950,93,110
1950,94,61
1950,95,30
1950,96,27
1950,97,24
1950,98,17
1950,99,11
1950,100,16
1951,0,68942
1951,1,14089
1951,2,8890
1951,3,5770
1951,4,3933
1951,5,2716
1951,6,1936
1951,7,1467
1951,8,1199
1951,9,1043
1951,10,922
1951,11,855
1951,12,830
1951,13,843
1951,14,890
1951,15,961
1951,16,1046
1951,17,1136
1951,18,1229
1951,19,1313
1951,20,1376
1951,21,1415
1951,22,1422
1951,23,1397
1951,24,1356
1951,25,1307
1951,26,1258
1951,27,1214
1951,28,1174
1951,29,1139
1951,30,1110
1951,31,1086
1951,32,1065
1951,33,1054
1951,34,1056
1951,35,1066
1951,36,1076
1951,37,1091
1951,38,1102
1951,39,1096
1951,40,1078
1951,41,1062
1951,42,1046
1951,43,1029
1951,44,1024
1951,45,1028
1951,46,1032
1951,47,1039
1951,48,1052
1951,49,1064
1951,50,1075
1951,51,1086
1951,52,1097
1951,53,1105
1951,54,1115
1951,55,1129
1951,56,1145
1951,57,1167
1951,58,1202
1951,59,1253
1951,60,1314
1951,61,1377
1951,62,1441
1951,63,1491
1951,64,1512
1951,65,1514
1951,66,1516
1951,67,1521
1951,68,1527
1951,69,1546
1951,70,1572
1951,71,1586
1951,72,1580
1951,73,1575
1951,74,1586
1951,75,1603
1951,76,1613
1951,77,1624
1951,78,1619
1951,79,1571
1951,80,1482
1951,81,1383
1951,82,1282
1951,83,1160
1951,84,1016
1951,85,859
1951,86,688
1951,87,502
1951,88,343
1951,89,247
1951,90,203
1951,91,158
1951,92,127
1951,93,107
1951,94,77
1951,95,41
1951,96,20
1951,97,17
1951,98,15
1951,99,11
1951,100,15
1952,0,69377
1952,1,13919
1952,2,8923
1952,3,5759
1952,4,3831
1952,5,2651
1952,6,1890
1952,7,1432
1952,8,1172
1952,9,1020
1952,10,900
1952,11,834
1952,12,810
1952,13,820
1952,14,861
1952,15,926
1952,16,1006
1952,17,1090
1952,18,1179
1952,19,1267
1952,20,1331
1952,21,1364
1952,22,1366
1952,23,1345
1952,24,1308
1952,25,1262
1952,26,1215
1952,27,1173
1952,28,1135
1952,29,1100
1952,30,1072
1952,31,1050
1952,32,1033
1952,33,1017
1952,34,1008
1952,35,1012
1952,36,1025
1952,37,1038
1952,38,1055
1952,39,1069
1952,40,1066
1952,41,1049
1952,42,1034
1952,43,1018
1952,44,1003
1952,45,1002
1952,46,1011
1952,47,1021
1952,48,1035
1952,49,1054
1952,50,1070
1952,51,1081
1952,52,1092
1952,53,1101
1952,54,1108
1952,55,1120
1952,56,1139
1952,57,1163
1952,58,1194
1952,59,1237
1952,60,1294
